,n1_field,n1_energy,n2_field,n2_energy
0,-280.0,-4.933881563931828e-24,-280.0,-5.422054654732891e-24
1,-279.29824561403507,-4.912924073093941e-24,-279.29824561403507,-5.4000125442523835e-24
2,-278.59649122807014,-4.8919878545004246e-24,-278.59649122807014,-5.3779470595014544e-24
3,-277.89473684210526,-4.871073204246832e-24,-277.89473684210526,-5.355863378233768e-24
4,-277.1929824561403,-4.850180409731283e-24,-277.1929824561403,-5.3337659137497646e-24
5,-276.4912280701754,-4.829309750224056e-24,-276.4912280701754,-5.3116584640655796e-24
6,-275.7894736842105,-4.808461497391113e-24,-275.7894736842105,-5.289544326320616e-24
7,-275.0877192982456,-4.787635915776705e-24,-275.0877192982456,-5.267426385689585e-24
8,-274.3859649122807,-4.766833263248651e-24,-274.3859649122807,-5.245307185312479e-24
9,-273.6842105263158,-4.746053791410891e-24,-273.6842105263158,-5.223188981904764e-24
10,-272.98245614035085,-4.725297745982933e-24,-272.98245614035085,-5.201073790428797e-24
11,-272.280701754386,-4.704565367154197e-24,-272.280701754386,-5.178963420313439e-24
12,-271.57894736842104,-4.6838568899108925e-24,-271.57894736842104,-5.1568595050760454e-24
13,-270.8771929824561,-4.663172544340241e-24,-270.8771929824561,-5.1347635267401155e-24
14,-270.17543859649123,-4.642512555913813e-24,-270.17543859649123,-5.1126768361159545e-24
15,-269.4736842105263,-4.6218771457507486e-24,-269.4736842105263,-5.090600669758074e-24
16,-268.77192982456137,-4.601266530863761e-24,-268.77192982456137,-5.0685361642375735e-24
17,-268.07017543859644,-4.580680924387656e-24,-268.07017543859644,-5.0464843682271636e-24
18,-267.36842105263156,-4.5601205357945865e-24,-267.36842105263156,-5.024446252789186e-24
19,-266.66666666666663,-4.539585571093699e-24,-266.66666666666663,-5.002422720184297e-24
20,-265.96491228070175,-4.519076233018648e-24,-265.96491228070175,-4.98041461144692e-24
21,-265.2631578947368,-4.498592721203922e-24,-265.2631578947368,-4.9584227129328406e-24
22,-264.5614035087719,-4.47813523234894e-24,-264.5614035087719,-4.936447762004086e-24
