,n1_field,n1_energy,n2_field,n2_energy
0,-100.0,-1.2942222291804006e-24,-100.0,-1.4346873351043446e-24
1,-99.89989989989989,-1.2917943205943764e-24,-99.89989989989989,-1.4320206618935672e-24
2,-99.7997997997998,-1.2893682800127561e-24,-99.7997997997998,-1.4293559611093662e-24
3,-99.6996996996997,-1.2869441087158882e-24,-99.6996996996997,-1.4266932342844922e-24
4,-99.5995995995996,-1.2845218079844033e-24,-99.5995995995996,-1.424032482952072e-24
5,-99.4994994994995,-1.282101379099026e-24,-99.4994994994995,-1.4213737086457024e-24
6,-99.3993993993994,-1.279682823340669e-24,-99.3993993993994,-1.4187169128988865e-24
7,-99.2992992992993,-1.277266141990527e-24,-99.2992992992993,-1.4160620972463497e-24
8,-99.1991991991992,-1.274851336329889e-24,-99.1991991991992,-1.413409263222065e-24
9,-99.0990990990991,-1.2724384076401377e-24,-99.0990990990991,-1.4107584123615101e-24
10,-98.998998998999,-1.2700273572030323e-24,-98.998998998999,-1.4081095461995987e-24
11,-98.8988988988989,-1.2676181863004257e-24,-98.8988988988989,-1.4054626662719965e-24
12,-98.7987987987988,-1.2652108962142652e-24,-98.7987987987988,-1.4028177741150276e-24
13,-98.6986986986987,-1.26280548822678e-24,-98.6986986986987,-1.40017487126464e-24
14,-98.5985985985986,-1.2604019636204814e-24,-98.5985985985986,-1.3975339592576279e-24
15,-98.4984984984985,-1.2580003236775987e-24,-98.4984984984985,-1.3948950396312558e-24
16,-98.3983983983984,-1.2556005696811134e-24,-98.3983983983984,-1.3922581139226943e-24
17,-98.2982982982983,-1.253202702913725e-24,-98.2982982982983,-1.3896231836696779e-24
18,-98.1981981981982,-1.250806724658603e-24,-98.1981981981982,-1.3869902504105056e-24
19,-98.0980980980981,-1.2484126361990112e-24,-98.0980980980981,-1.3843593156834764e-24
20,-97.997997997998,-1.2460204388181192e-24,-97.997997997998,-1.3817303810273593e-24
21,-97.8978978978979,-1.2436301337995668e-24,-97.8978978978979,-1.3791034479812997e-24
22,-97.7977977977978,-1.241241722427182e-24,-97.7977977977978,-1.376478518084913e-24
23,-97.6976976976977,-1.2388552059846045e-24,-97.6976976976977,-1.3738555928778147e-24
24,-97.5975975975976,-1.2364705857560385e-24,-97.5975975975976,-1.3712346739001845e-24
25,-97.4974974974975,-1.234087863025594e-24,-97.4974974974975,-1.3686157626926724e-24
26,-97.3973973973974,-1.231707039077569e-24,-97.3973973973974,-1.3659988607959282e-24
27,-97.2972972972973,-1.2293281151966378e-24,-97.2972972972973,-1.3633839697512602e-24
28,-97.1971971971972,-1.2269510926672866e-24,-97.1971971971972,-1.3607710911000706e-24
29,-97.0970970970971,-1.2245759727742838e-24,-97.0970970970971,-1.3581602263843258e-24
30,-96.996996996997,-1.2222027568026798e-24,-96.996996996997,-1.3555513771458983e-24
31,-96.8968968968969,-1.2198314460374309e-24,-96.8968968968969,-1.3529445449276009e-24
